Fecha,Hora,Produccion_Eolica
2019-02-13,12,4.5
2019-02-13,13,1.0
2019-02-13,14,1.0
2019-02-13,15,5.0
2019-02-13,16,8.0
2019-02-13,17,7.0
2019-02-13,18,8.0
2019-02-13,19,10.0
2019-02-13,20,10.0
2019-02-13,21,8.5
2019-02-13,22,6.5
2019-02-13,23,5.5
2019-02-13,24,5.5
2019-02-14,1,6.5
2019-02-14,2,7.5
2019-02-14,3,10.5
2019-02-14,4,16.5
2019-02-14,5,23.0
2019-02-14,6,28.5
2019-02-14,7,30.5
2019-02-14,8,29.0
2019-02-14,9,22.0
2019-02-14,10,10.0
2019-02-14,11,4.0
2019-02-14,12,2.0
